State,day_of_week,hour_of_day,total_accidents,high_severity_accidents
AZ,2,17,1285,241
AZ,2,18,721,157
AZ,2,19,348,77
AZ,2,20,262,61
AZ,2,21,211,68
AZ,2,22,71,31
AZ,2,23,7,2
AZ,3,0,3,2
AZ,3,1,4,3
AZ,3,3,106,31
AZ,3,4,424,100
AZ,3,5,650,153
AZ,3,6,1008,161
AZ,3,7,1620,214
AZ,3,8,1346,144
AZ,3,9,729,95
AZ,3,10,548,96
AZ,3,11,516,90
AZ,3,12,503,97
AZ,3,13,558,123
AZ,3,14,998,189
AZ,3,15,1164,190
AZ,3,16,1408,229
AZ,3,17,1287,233
AZ,3,18,665,138
AZ,3,19,388,90
AZ,3,20,219,64
AZ,3,21,189,57
AZ,3,22,74,27
AZ,3,23,11,6
AZ,4,0,2,1
AZ,4,2,1,1
AZ,4,3,94,26
AZ,4,4,464,130
AZ,4,5,550,120
AZ,4,6,988,176
AZ,4,7,1366,165
AZ,4,8,1288,146
AZ,4,9,751,90
AZ,4,10,589,105
AZ,4,11,592,111
AZ,4,12,601,141
AZ,4,13,726,174
AZ,4,14,1015,216
AZ,4,15,1213,274
AZ,4,16,1517,264
AZ,4,17,1320,235
AZ,4,18,702,177
AZ,4,19,429,119
AZ,4,20,311,73
AZ,4,21,226,48
AZ,4,22,57,22
AZ,4,23,14,9
AZ,5,0,6,4
AZ,5,1,2,2
AZ,5,2,1,1
AZ,5,4,112,47
AZ,5,5,158,74
AZ,5,6,163,84
AZ,5,7,174,62
AZ,5,8,171,74
AZ,5,9,187,78
AZ,5,10,214,85
AZ,5,11,252,115
AZ,5,12,232,120
AZ,5,13,238,125
AZ,5,14,235,110
AZ,5,15,184,72
AZ,5,16,207,88
AZ,5,17,169,67
AZ,5,18,202,78
AZ,5,19,167,58
AZ,5,20,31,12
AZ,5,21,4,3
AZ,5,22,4,0
AZ,5,23,1,1
AZ,6,1,2,2
AZ,6,2,1,1
AZ,6,3,2,2
AZ,6,4,121,62
AZ,6,5,149,74
AZ,6,6,157,73
AZ,6,7,115,48
AZ,6,8,145,59
AZ,6,9,152,53
AZ,6,10,182,68
AZ,6,11,228,93
AZ,6,12,186,87
AZ,6,13,162,78
AZ,6,14,146,80
AZ,6,15,133,65
AZ,6,16,159,66
AZ,6,17,122,53
AZ,6,18,146,72
AZ,6,19,91,42
AZ,6,20,26,17
AZ,6,21,1,1
AZ,6,22,14,8
AZ,6,23,4,3
CA,0,0,1753,687
CA,0,1,1612,544
CA,0,2,1691,615
CA,0,3,1468,539
CA,0,4,2390,775
CA,0,5,3885,1246
CA,0,6,5366,1719
CA,0,7,6397,2056
CA,0,8,6740,2205
CA,0,9,5454,2068
CA,0,10,4766,1839
CA,0,11,4977,1872
CA,0,12,3458,1487
CA,0,13,4117,1449
CA,0,14,4454,1772
CA,0,15,5025,1947
CA,0,16,5264,1904
CA,0,17,5452,2100
CA,0,18,4823,2028
CA,0,19,3495,1423
CA,0,20,3369,1479
CA,0,21,2242,1109
CA,0,22,1942,786
CA,0,23,1741,652
CA,1,0,1634,676
CA,1,1,1300,452
CA,1,2,1326,521
CA,1,3,1080,399
CA,1,4,1980,619
CA,1,5,3705,1193
CA,1,6,5641,1855
CA,1,7,6919,2181
CA,1,8,7295,2398
CA,1,9,5967,2227
CA,1,10,5005,1952
CA,1,11,5253,1936
CA,1,12,3627,1581
CA,1,13,4070,1450
CA,1,14,4337,1689
CA,1,15,4868,1964
CA,1,16,5218,1961
CA,1,17,5858,2278
CA,1,18,5181,2109
CA,1,19,3801,1571
CA,1,20,3491,1479
CA,1,21,2280,1110
CA,1,22,2119,892
CA,1,23,1806,679
CA,2,0,1650,673
CA,2,1,1288,408
CA,2,2,1401,489
CA,2,3,1147,426
CA,2,4,2128,654
CA,2,5,3763,1228
CA,2,6,5584,1905
CA,2,7,6866,2154
CA,2,8,7501,2442
CA,2,9,5852,2149
CA,2,10,5078,1952
CA,2,11,5317,2064
CA,2,12,3875,1649
CA,2,13,4520,1634
CA,2,14,4653,1816
CA,2,15,5186,2050
CA,2,16,5481,2027
CA,2,17,6140,2452
CA,2,18,5451,2199
CA,2,19,3979,1635
CA,2,20,3514,1490
CA,2,21,2241,1106
CA,2,22,2212,917
CA,2,23,1917,724
CA,3,0,1676,629
CA,3,1,1475,514
CA,3,2,1587,604
CA,3,3,1314,507
CA,3,4,2229,747
CA,3,5,3708,1157
CA,3,6,5136,1652
CA,3,7,6648,2102
CA,3,8,7040,2297
CA,3,9,5952,2263
CA,3,10,5161,2094
CA,3,11,5478,2105
CA,3,12,3938,1770
CA,3,13,4539,1716
CA,3,14,4893,2066
