State,day_of_week,hour_of_day,total_accidents,high_severity_accidents
LA,1,21,145,38
LA,1,22,123,47
LA,1,23,9,6
LA,2,0,2,0
LA,2,1,4,3
LA,2,2,1,0
LA,2,3,2,1
LA,2,4,230,38
LA,2,5,321,83
LA,2,6,848,172
LA,2,7,1693,249
LA,2,8,1537,207
LA,2,9,1293,150
LA,2,10,1213,111
LA,2,11,536,120
LA,2,12,640,125
LA,2,13,597,149
LA,2,14,624,185
LA,2,15,1229,220
LA,2,16,1287,274
LA,2,17,1176,289
LA,2,18,899,192
LA,2,19,278,82
LA,2,20,216,60
LA,2,21,167,50
LA,2,22,95,27
LA,2,23,10,5
LA,3,0,2,2
LA,3,2,2,2
LA,3,3,3,2
LA,3,4,230,52
LA,3,5,328,79
LA,3,6,798,143
LA,3,7,1589,239
LA,3,8,1527,244
LA,3,9,1166,118
LA,3,10,1184,106
LA,3,11,506,129
LA,3,12,596,137
LA,3,13,616,148
LA,3,14,576,132
LA,3,15,1293,227
LA,3,16,1283,267
LA,3,17,1195,301
LA,3,18,858,202
LA,3,19,250,78
LA,3,20,174,36
LA,3,21,150,43
LA,3,22,110,44
LA,3,23,3,2
LA,4,0,1,1
LA,4,1,3,3
LA,4,3,4,3
LA,4,4,277,52
LA,4,5,302,73
LA,4,6,694,135
LA,4,7,1341,204
LA,4,8,1370,185
LA,4,9,1162,99
LA,4,10,1326,109
LA,4,11,656,135
LA,4,12,720,177
LA,4,13,705,216
LA,4,14,687,176
LA,4,15,1310,282
LA,4,16,1433,293
LA,4,17,1090,300
LA,4,18,872,242
LA,4,19,292,98
LA,4,20,257,84
LA,4,21,252,73
LA,4,22,107,42
LA,4,23,11,4
LA,5,3,1,1
LA,5,4,1,1
LA,5,5,3,3
LA,5,6,89,65
LA,5,7,92,62
LA,5,8,95,62
LA,5,9,150,80
LA,5,10,147,78
LA,5,11,173,100
LA,5,12,198,119
LA,5,13,157,91
LA,5,14,178,143
LA,5,15,177,140
LA,5,16,132,105
LA,5,17,134,106
LA,5,18,94,78
LA,5,19,87,60
LA,5,20,68,46
LA,5,21,47,38
LA,5,22,3,3
LA,5,23,4,4
LA,6,0,1,1
LA,6,1,1,1
LA,6,3,2,2
LA,6,5,1,1
LA,6,6,99,77
LA,6,7,72,54
LA,6,8,70,43
LA,6,9,96,52
LA,6,10,88,54
LA,6,11,155,86
LA,6,12,160,102
LA,6,13,153,97
LA,6,14,160,122
LA,6,15,152,123
LA,6,16,144,109
LA,6,17,139,114
LA,6,18,95,76
LA,6,19,82,61
LA,6,20,49,32
LA,6,21,66,51
LA,6,23,1,1
MA,0,0,2,2
MA,0,1,2,2
MA,0,2,1,1
MA,0,3,1,1
MA,0,4,220,73
MA,0,5,502,190
MA,0,6,876,341
MA,0,7,1448,463
MA,0,8,1303,392
MA,0,9,748,186
MA,0,10,539,104
MA,0,11,377,78
MA,0,12,88,36
MA,0,13,185,56
MA,0,14,213,83
MA,0,15,250,99
MA,0,16,1131,308
MA,0,17,1041,265
MA,0,18,463,104
MA,0,19,127,28
MA,0,20,95,22
MA,0,21,71,21
MA,0,22,58,16
MA,0,23,1,0
MA,1,2,1,0
MA,1,3,1,0
MA,1,4,206,95
MA,1,5,510,225
MA,1,6,1048,397
MA,1,7,1684,567
MA,1,8,1698,551
MA,1,9,930,259
MA,1,10,638,132
MA,1,11,381,78
MA,1,12,94,40
MA,1,13,180,60
MA,1,14,256,104
MA,1,15,281,116
MA,1,16,1310,342
MA,1,17,1097,308
MA,1,18,516,141
MA,1,19,142,39
MA,1,20,98,21
MA,1,21,58,9
MA,1,22,40,11
MA,1,23,4,1
MA,2,1,1,0
MA,2,3,1,1
MA,2,4,182,75
MA,2,5,514,198
MA,2,6,1085,413
MA,2,7,1696,527
MA,2,8,1628,563
MA,2,9,871,207
MA,2,10,550,103
MA,2,11,383,82
MA,2,12,65,20
MA,2,13,184,63
MA,2,14,260,102
MA,2,15,291,148
MA,2,16,1319,361
MA,2,17,1214,353
MA,2,18,570,152
MA,2,19,155,42
MA,2,20,101,18
MA,2,21,51,17
MA,2,22,57,15
MA,3,3,2,1
MA,3,4,218,76
MA,3,5,474,169
MA,3,6,916,321
MA,3,7,1570,532
MA,3,8,1497,465
MA,3,9,863,251
MA,3,10,599,121
MA,3,11,398,87
MA,3,12,99,44
MA,3,13,192,67
MA,3,14,264,124
MA,3,15,323,152
MA,3,16,1317,375
MA,3,17,1202,362
MA,3,18,545,158
MA,3,19,151,45
MA,3,20,115,30
MA,3,21,71,15
MA,3,22,49,15
MA,3,23,5,2
MA,4,2,1,1
MA,4,3,2,2
MA,4,4,195,72
MA,4,5,379,158
MA,4,6,777,286
MA,4,7,1266,366
MA,4,8,1122,289
MA,4,9,716,153
MA,4,10,546,132
MA,4,11,451,91
MA,4,12,92,46
MA,4,13,231,94
MA,4,14,292,130
MA,4,15,322,150
MA,4,16,1259,405
MA,4,17,1165,342
MA,4,18,569,158
MA,4,19,151,38
MA,4,20,125,34
MA,4,21,81,16
MA,4,22,60,19
MA,4,23,1,0
MA,5,5,5,5
MA,5,6,1,1
MA,5,7,45,25
MA,5,8,32,17
MA,5,9,59,32
MA,5,10,48,23
MA,5,11,51,20
MA,5,12,65,41
MA,5,13,65,31
MA,5,14,54,34
MA,5,15,36,13
MA,5,16,48,26
MA,5,17,26,14
MA,5,18,23,12
MA,5,19,30,11
MA,5,20,15,8
MA,5,21,13,7
MA,5,22,15,6
MA,6,6,1,1
MA,6,7,22,9
MA,6,8,19,3
MA,6,9,24,9
MA,6,10,36,14
MA,6,11,47,19
MA,6,12,36,11
MA,6,13,66,33
MA,6,14,54,25
MA,6,15,31,21
MA,6,16,55,27
MA,6,17,31,19
MA,6,18,28,15
MA,6,19,13,8
MA,6,20,18,6
MA,6,21,19,8
MA,6,22,16,9
MD,0,0,2,1
MD,0,2,2,2
MD,0,3,6,5
MD,0,4,261,100
MD,0,5,509,181
MD,0,6,820,330
MD,0,7,1009,370
MD,0,8,1033,359
MD,0,9,381,185
MD,0,10,395,187
MD,0,11,319,146
MD,0,12,231,127
MD,0,13,274,159
MD,0,14,307,191
MD,0,15,276,201
MD,0,16,333,178
MD,0,17,346,213
MD,0,18,258,170
MD,0,19,125,88
MD,0,20,102,70
MD,0,21,78,56
MD,0,22,75,53
MD,0,23,5,3
MD,1,0,1,0
MD,1,2,1,1
MD,1,3,3,1
MD,1,4,228,91
MD,1,5,453,148
MD,1,6,936,332
MD,1,7,1177,449
MD,1,8,1160,464
MD,1,9,455,232
MD,1,10,380,194
MD,1,11,334,171
MD,1,12,208,104
MD,1,13,261,167
MD,1,14,301,172
MD,1,15,229,147
MD,1,16,340,199
MD,1,17,314,183
MD,1,18,251,151
MD,1,19,163,111
MD,1,20,119,76
MD,1,21,66,44
MD,1,22,76,55
MD,1,23,5,5
MD,2,0,3,3
MD,2,1,3,2
MD,2,2,3,2
MD,2,3,2,0
MD,2,4,256,90
MD,2,5,492,174
MD,2,6,951,334
MD,2,7,1161,382
MD,2,8,1081,403
MD,2,9,394,202
MD,2,10,326,140
MD,2,11,335,152
MD,2,12,231,145
MD,2,13,272,159
MD,2,14,256,159
MD,2,15,263,171
MD,2,16,316,180
MD,2,17,382,209
MD,2,18,303,174
MD,2,19,195,120
MD,2,20,136,87
MD,2,21,77,57
MD,2,22,78,55
MD,2,23,9,8
MD,3,0,4,4
MD,3,2,1,1
MD,3,3,2,0
MD,3,4,238,108
MD,3,5,434,159
MD,3,6,872,325
MD,3,7,1069,391
MD,3,8,1081,404
MD,3,9,388,193
MD,3,10,384,191
MD,3,11,307,142
MD,3,12,219,133
MD,3,13,279,173
MD,3,14,314,192
MD,3,15,305,199
MD,3,16,349,209
MD,3,17,391,205
MD,3,18,273,164
MD,3,19,185,109
MD,3,20,135,85
MD,3,21,89,52
MD,3,22,87,65
MD,3,23,9,5
MD,4,0,1,1
MD,4,1,1,1
MD,4,2,1,1
MD,4,3,2,2
MD,4,4,301,117
MD,4,5,451,164
MD,4,6,764,276
MD,4,7,901,309
MD,4,8,858,291
MD,4,9,382,179
MD,4,10,350,158
MD,4,11,354,170
MD,4,12,282,158
MD,4,13,309,185
MD,4,14,394,244
MD,4,15,303,206
MD,4,16,345,209
MD,4,17,416,244
MD,4,18,291,180
MD,4,19,218,144
MD,4,20,166,97
MD,4,21,96,65
MD,4,22,87,58
MD,4,23,5,2
MD,5,0,3,3
MD,5,1,1,1
MD,5,2,1,1
MD,5,3,4,4
MD,5,5,2,2
MD,5,6,2,2
MD,5,7,137,97
MD,5,8,128,77
MD,5,9,168,104
MD,5,10,220,132
MD,5,11,202,122
MD,5,12,250,150
MD,5,13,257,168
MD,5,14,210,145
MD,5,15,134,94
MD,5,16,122,86
MD,5,17,100,61
MD,5,18,106,66
MD,5,19,95,65
MD,5,20,85,62
MD,5,21,62,48
MD,5,22,34,20
MD,5,23,1,1
MD,6,1,2,2
MD,6,2,3,2
MD,6,5,2,2
MD,6,7,163,117
MD,6,8,120,83
MD,6,9,165,108
MD,6,10,176,104
MD,6,11,200,127
MD,6,12,198,116
MD,6,13,235,148
MD,6,14,217,141
MD,6,15,117,77
MD,6,16,131,91
MD,6,17,111,82
MD,6,18,101,65
MD,6,19,80,55
MD,6,20,65,46
MD,6,21,39,31
MD,6,22,46,36
ME,0,2,1,1
ME,0,5,2,2
ME,0,6,7,2
ME,0,7,2,2
ME,0,8,3,1
ME,0,9,5,2
ME,0,10,4,3
ME,0,11,7,3
ME,0,13,6,5
ME,0,14,2,2
ME,0,16,10,4
ME,0,17,13,6
ME,0,18,7,4
ME,0,19,3,3
ME,0,20,1,1
ME,0,22,2,2
ME,1,5,2,1
ME,1,6,7,7
ME,1,7,2,0
ME,1,8,7,5
ME,1,10,3,2
ME,1,11,2,2
ME,1,13,2,2
ME,1,14,3,2
ME,1,15,3,3
ME,1,16,16,9
ME,1,17,17,10
ME,1,18,7,1
ME,1,19,3,2
ME,1,20,2,1
ME,1,21,3,2
ME,2,5,4,3
ME,2,6,7,5
ME,2,7,8,7
ME,2,8,4,1
ME,2,9,3,2
ME,2,10,7,6
ME,2,11,6,6
ME,2,14,1,1
ME,2,15,1,0
ME,2,16,16,10
ME,2,17,15,6
ME,2,18,11,5
ME,2,19,5,3
ME,2,20,2,2
ME,2,21,2,1
ME,2,22,1,1
ME,3,4,2,2
ME,3,5,5,2
ME,3,6,5,4
ME,3,7,8,7
ME,3,8,2,1
ME,3,9,3,3
ME,3,10,4,4
ME,3,11,4,4
ME,3,12,2,2
ME,3,13,2,1
ME,3,14,3,2
ME,3,15,3,3
ME,3,16,24,11
ME,3,17,16,4
ME,3,18,5,1
ME,3,19,2,2
ME,3,20,3,1
ME,3,21,7,7
ME,3,22,2,2
ME,4,4,1,1
ME,4,5,4,3
ME,4,6,4,4
ME,4,7,3,1
ME,4,8,8,6
ME,4,9,3,3
ME,4,10,3,2
ME,4,11,2,2
ME,4,12,1,1
ME,4,13,1,1
ME,4,14,2,1
ME,4,15,3,2
ME,4,16,22,11
ME,4,17,19,10
ME,4,18,17,10
ME,4,19,3,2
ME,4,20,3,2
ME,4,21,2,1
ME,4,22,3,3
ME,5,7,1,0
ME,5,8,1,1
ME,5,9,1,1
ME,5,10,2,2
ME,5,11,3,1
ME,5,18,1,0
ME,5,19,1,0
ME,6,7,1,0
ME,6,8,1,1
ME,6,10,2,1
ME,6,11,2,2
ME,6,12,1,1
ME,6,13,2,1
ME,6,14,1,1
ME,6,17,2,2
ME,6,18,1,1
ME,6,22,1,1
MI,0,0,98,66
MI,0,1,86,56
MI,0,2,109,72
MI,0,3,87,65
MI,0,4,567,122
MI,0,5,471,155
MI,0,6,1120,367
MI,0,7,1748,546
MI,0,8,1831,592
MI,0,9,817,332
MI,0,10,842,316
MI,0,11,777,256
MI,0,12,560,227
MI,0,13,465,202
MI,0,14,583,283
MI,0,15,1019,412
MI,0,16,1187,438
MI,0,17,1102,446
MI,0,18,759,261
MI,0,19,511,177
MI,0,20,376,137
MI,0,21,307,103
MI,0,22,275,113
MI,0,23,84,62
MI,1,0,86,54
MI,1,1,98,73
MI,1,2,86,67
MI,1,3,82,58
MI,1,4,531,119
MI,1,5,570,180
MI,1,6,1212,363
MI,1,7,1978,600
MI,1,8,1980,612
MI,1,9,870,355
MI,1,10,828,274
MI,1,11,788,256
MI,1,12,492,199
MI,1,13,461,199
MI,1,14,606,281
MI,1,15,1000,357
MI,1,16,1192,421
MI,1,17,1236,491
MI,1,18,824,307
MI,1,19,547,177
MI,1,20,369,104
MI,1,21,279,104
MI,1,22,274,121
MI,1,23,75,56
MI,2,0,93,52
MI,2,1,93,66
MI,2,2,88,56
MI,2,3,83,58
MI,2,4,639,130
MI,2,5,557,168
MI,2,6,1119,345
MI,2,7,1786,540
MI,2,8,1846,532
MI,2,9,817,307
MI,2,10,833,293
MI,2,11,797,269
MI,2,12,446,159
MI,2,13,481,216
MI,2,14,557,248
MI,2,15,1095,416
MI,2,16,1239,461
MI,2,17,1183,507
MI,2,18,909,323
MI,2,19,591,219
MI,2,20,395,140
MI,2,21,301,108
MI,2,22,283,123
MI,2,23,80,53
MI,3,0,78,54
MI,3,1,101,65
MI,3,2,86,47
MI,3,3,87,61
MI,3,4,582,72
MI,3,5,510,123
MI,3,6,1034,302
MI,3,7,1704,506
MI,3,8,1773,558
MI,3,9,843,331
MI,3,10,803,283
MI,3,11,792,251
MI,3,12,473,192
MI,3,13,458,193
MI,3,14,630,306
MI,3,15,1052,415
MI,3,16,1330,513
MI,3,17,1229,523
MI,3,18,904,362
MI,3,19,643,212
MI,3,20,346,112
MI,3,21,304,124
MI,3,22,274,103
MI,3,23,85,65
MI,4,0,81,57
MI,4,1,100,70
MI,4,2,115,77
MI,4,3,109,73
MI,4,4,679,135
MI,4,5,495,167
MI,4,6,981,281
MI,4,7,1550,435
MI,4,8,1530,460
MI,4,9,666,237
MI,4,10,747,257
MI,4,11,815,227
MI,4,12,592,227
MI,4,13,508,230
MI,4,14,718,331
MI,4,15,1269,544
MI,4,16,1517,598
MI,4,17,1263,524
MI,4,18,955,405
MI,4,19,626,238
MI,4,20,439,163
MI,4,21,355,138
MI,4,22,328,156
MI,4,23,103,71
MI,5,0,103,56
MI,5,1,182,128
MI,5,2,257,161
MI,5,3,173,105
MI,5,4,162,102
MI,5,5,144,94
MI,5,6,139,89
MI,5,7,258,168
MI,5,8,272,179
MI,5,9,301,198
MI,5,10,367,242
MI,5,11,353,198
MI,5,12,376,217
MI,5,13,362,240
MI,5,14,372,236
MI,5,15,276,215
MI,5,16,276,228
MI,5,17,267,200
MI,5,18,237,177
MI,5,19,165,118
MI,5,20,175,136
MI,5,21,181,132
MI,5,22,149,104
MI,5,23,93,59
MI,6,0,113,80
MI,6,1,205,121
MI,6,2,268,154
MI,6,3,252,153
MI,6,4,177,116
MI,6,5,140,92
MI,6,6,96,67
MI,6,7,177,123
MI,6,8,184,119
MI,6,9,177,113
MI,6,10,260,153
MI,6,11,248,151
MI,6,12,311,190
MI,6,13,330,214
MI,6,14,322,209
MI,6,15,255,199
MI,6,16,233,180
MI,6,17,227,173
MI,6,18,202,151
MI,6,19,179,135
MI,6,20,184,134
MI,6,21,151,102
MI,6,22,142,111
MI,6,23,68,51
MN,0,0,3,2
MN,0,1,3,3
MN,0,2,4,4
MN,0,3,4,3
MN,0,4,319,58
MN,0,5,405,118
MN,0,6,804,186
MN,0,7,1155,260
MN,0,8,1003,274
MN,0,9,639,254
MN,0,10,456,181
MN,0,11,291,170
MN,0,12,304,191
MN,0,13,302,186
MN,0,14,366,248
MN,0,15,763,367
MN,0,16,778,414
MN,0,17,876,496
MN,0,18,474,240
MN,0,19,335,153
MN,0,20,417,151
MN,0,21,273,106
MN,0,22,293,120
MN,0,23,4,3
MN,1,0,2,1
MN,1,1,2,2
MN,1,2,2,2
MN,1,3,11,7
MN,1,4,341,62
MN,1,5,339,100
MN,1,6,845,213
MN,1,7,1207,343
MN,1,8,1137,313
MN,1,9,614,252
MN,1,10,477,157
MN,1,11,297,149
MN,1,12,305,184
MN,1,13,310,194
MN,1,14,336,230
MN,1,15,912,443
MN,1,16,946,531
MN,1,17,1063,583
MN,1,18,547,288
MN,1,19,374,166
MN,1,20,403,133
MN,1,21,234,79
MN,1,22,270,106
MN,1,23,2,1
MN,2,0,2,1
MN,2,1,4,1
MN,2,2,5,1
MN,2,3,6,0
MN,2,4,341,72
MN,2,5,362,88
MN,2,6,815,197
MN,2,7,1251,321
MN,2,8,1101,274
MN,2,9,609,221
MN,2,10,476,150
MN,2,11,287,126
MN,2,12,304,209
MN,2,13,329,216
MN,2,14,373,228
MN,2,15,889,448
MN,2,16,927,530
MN,2,17,950,541
MN,2,18,550,299
MN,2,19,301,147
MN,2,20,359,119
MN,2,21,225,96
MN,2,22,201,67
MN,2,23,1,1
MN,3,1,2,0
MN,3,2,1,1
MN,3,3,3,2
MN,3,4,330,64
MN,3,5,318,80
MN,3,6,652,145
MN,3,7,1071,310
MN,3,8,935,242
MN,3,9,590,220
MN,3,10,492,169
MN,3,11,306,156
MN,3,12,342,231
MN,3,13,311,200
MN,3,14,375,244
MN,3,15,904,444
MN,3,16,968,539
MN,3,17,1035,577
MN,3,18,520,289
MN,3,19,348,173
MN,3,20,456,156
MN,3,21,270,127
MN,3,22,285,116
MN,3,23,5,5
MN,4,3,7,1
MN,4,4,325,74
MN,4,5,327,71
MN,4,6,632,163
MN,4,7,804,219
MN,4,8,784,209
MN,4,9,465,165
MN,4,10,462,161
MN,4,11,313,179
MN,4,12,409,278
MN,4,13,418,296
MN,4,14,482,323
MN,4,15,1146,607
MN,4,16,1016,575
MN,4,17,1008,595
MN,4,18,613,303
MN,4,19,384,168
MN,4,20,390,153
MN,4,21,288,115
MN,4,22,372,165
MN,4,23,5,1
MN,5,5,1,0
MN,5,6,294,130
MN,5,7,187,93
MN,5,8,230,133
MN,5,9,228,126
MN,5,10,217,114
MN,5,11,293,166
MN,5,12,373,192
MN,5,13,375,215
MN,5,14,298,200
MN,5,15,281,167
MN,5,16,131,76
MN,5,17,163,109
MN,5,18,168,121
MN,5,19,114,80
MN,5,20,103,68
MN,5,21,127,82
MN,6,0,2,2
MN,6,2,2,2
MN,6,5,1,1
MN,6,6,275,120
MN,6,7,104,60
MN,6,8,148,83
MN,6,9,148,78
MN,6,10,158,80
MN,6,11,223,94
MN,6,12,260,141
MN,6,13,254,144
MN,6,14,271,179
MN,6,15,219,129
MN,6,16,169,113
MN,6,17,130,92
MN,6,18,133,88
MN,6,19,69,52
MN,6,20,107,74
MN,6,21,118,67
MN,6,22,2,2
MO,0,0,3,2
MO,0,2,1,0
MO,0,3,2,2
MO,0,4,147,98
MO,0,5,183,108
MO,0,6,477,275
MO,0,7,672,358
MO,0,8,700,394
MO,0,9,232,174
MO,0,10,240,165
MO,0,11,255,177
MO,0,12,144,115
MO,0,13,166,129
MO,0,14,245,183
MO,0,15,289,210
MO,0,16,367,284
MO,0,17,376,278
MO,0,18,217,176
MO,0,19,142,122
MO,0,20,94,80
MO,0,21,105,82
MO,0,22,92,78
MO,0,23,18,17
MO,1,1,1,1
MO,1,2,2,2
MO,1,3,2,2
MO,1,4,114,71
MO,1,5,156,104
MO,1,6,582,277
MO,1,7,785,412
MO,1,8,778,433
MO,1,9,258,190
MO,1,10,234,160
MO,1,11,224,149
MO,1,12,135,110
MO,1,13,133,112
MO,1,14,210,160
MO,1,15,311,247
MO,1,16,431,344
MO,1,17,417,334
MO,1,18,290,230
MO,1,19,179,151
MO,1,20,113,97
MO,1,21,87,74
MO,1,22,85,78
MO,1,23,8,8
MO,2,0,5,4
MO,2,1,4,2
MO,2,2,3,1
MO,2,4,148,82
MO,2,5,198,115
MO,2,6,602,335
MO,2,7,861,445
MO,2,8,820,472
MO,2,9,293,218
MO,2,10,288,214
MO,2,11,259,189
MO,2,12,147,120
MO,2,13,154,126
MO,2,14,205,152
MO,2,15,316,240
MO,2,16,420,332
MO,2,17,429,340
MO,2,18,275,218
MO,2,19,158,139
MO,2,20,109,88
MO,2,21,92,80
MO,2,22,90,72
MO,2,23,9,9
MO,3,1,1,1
MO,3,2,2,2
MO,3,3,1,0
MO,3,4,174,109
MO,3,5,190,123
MO,3,6,538,280
MO,3,7,762,393
MO,3,8,709,419
MO,3,9,261,196
MO,3,10,256,174
MO,3,11,248,158
MO,3,12,133,101
MO,3,13,170,141
MO,3,14,205,161
MO,3,15,354,282
MO,3,16,401,335
MO,3,17,410,326
MO,3,18,303,244
MO,3,19,156,124
MO,3,20,94,81
MO,3,21,98,89
MO,3,22,82,71
MO,3,23,7,7
MO,4,0,1,0
MO,4,1,1,1
MO,4,2,1,1
MO,4,3,1,0
MO,4,4,185,119
MO,4,5,178,112
MO,4,6,466,232
MO,4,7,637,326
MO,4,8,523,287
MO,4,9,203,151
MO,4,10,243,167
MO,4,11,214,146
MO,4,12,154,121
MO,4,13,176,133
MO,4,14,250,192
MO,4,15,379,293
MO,4,16,451,379
MO,4,17,439,338
MO,4,18,322,269
MO,4,19,223,189
MO,4,20,117,93
MO,4,21,94,80
MO,4,22,110,88
MO,4,23,7,7
MO,5,0,2,0
MO,5,1,2,2
MO,5,2,3,3
MO,5,3,8,8
MO,5,5,2,2
MO,5,6,120,103
MO,5,7,120,102
MO,5,8,146,121
MO,5,9,120,93
MO,5,10,133,110
MO,5,11,154,123
MO,5,12,145,117
MO,5,13,146,121
MO,5,14,152,115
MO,5,15,162,142
MO,5,16,71,61
MO,5,17,75,55
MO,5,18,86,75
MO,5,19,71,59
MO,5,20,56,50
MO,5,21,64,53
MO,5,22,10,6
MO,5,23,1,1
MO,6,1,2,2
MO,6,2,3,3
MO,6,3,2,2
MO,6,4,3,3
MO,6,5,1,1
MO,6,6,100,87
MO,6,7,88,82
MO,6,8,112,91
MO,6,9,97,78
MO,6,10,99,82
MO,6,11,114,94
MO,6,12,136,115
MO,6,13,144,121
MO,6,14,153,128
MO,6,15,136,114
MO,6,16,72,64
MO,6,17,69,55
MO,6,18,65,53
MO,6,19,54,46
MO,6,20,45,35
MO,6,21,48,37
MO,6,22,9,6
MO,6,23,1,1
MS,0,4,14,4
MS,0,5,19,12
MS,0,6,72,39
MS,0,7,169,61
MS,0,8,164,69
MS,0,9,92,38
MS,0,10,84,29
MS,0,11,66,30
MS,0,12,57,22
MS,0,13,51,21
MS,0,14,49,30
MS,0,15,93,61
MS,0,16,85,55
MS,0,17,124,75
MS,0,18,58,43
MS,0,19,14,11
MS,0,20,7,4
MS,0,21,6,6
MS,0,22,3,2
MS,1,4,17,10
MS,1,5,16,8
MS,1,6,72,34
MS,1,7,168,61
MS,1,8,219,110
MS,1,9,117,49
MS,1,10,79,28
MS,1,11,79,33
MS,1,12,65,31
MS,1,13,54,31
MS,1,14,26,11
MS,1,15,96,60
MS,1,16,112,63
MS,1,17,144,86
MS,1,18,76,54
MS,1,19,30,21
MS,1,20,9,6
MS,1,21,2,1
MS,1,22,2,2
MS,1,23,1,1
MS,2,1,1,1
MS,2,4,11,6
MS,2,5,17,11
MS,2,6,71,33
MS,2,7,166,70
MS,2,8,202,97
MS,2,9,85,35
MS,2,10,86,33
MS,2,11,83,30
MS,2,12,48,26
MS,2,13,53,32
MS,2,14,47,23
MS,2,15,75,48
MS,2,16,105,64
MS,2,17,113,70
MS,2,18,71,47
MS,2,19,14,11
MS,2,20,7,7
MS,2,21,2,2
MS,2,22,1,1
MS,2,23,1,1
MS,3,1,1,1
MS,3,3,1,1
MS,3,4,18,13
MS,3,5,13,7
MS,3,6,70,33
MS,3,7,126,58
MS,3,8,181,86
MS,3,9,73,33
MS,3,10,66,23
MS,3,11,70,28
MS,3,12,40,22
MS,3,13,55,22
MS,3,14,49,28
MS,3,15,87,54
MS,3,16,125,77
MS,3,17,112,79
MS,3,18,58,41
MS,3,19,19,15
MS,3,21,5,4
MS,3,22,5,3
MS,4,2,1,1
MS,4,4,21,12
MS,4,5,14,8
MS,4,6,44,19
MS,4,7,124,44
MS,4,8,114,52
MS,4,9,75,31
MS,4,10,58,24
MS,4,11,86,33
MS,4,12,76,39
MS,4,13,65,33
MS,4,14,52,20
MS,4,15,139,101
MS,4,16,129,77
MS,4,17,164,112
MS,4,18,76,52
MS,4,19,25,23
MS,4,20,5,3
MS,4,21,3,3
MS,4,22,1,1
MS,5,5,1,1
MS,5,6,17,12
MS,5,7,6,5
MS,5,8,6,4
MS,5,9,4,2
MS,5,10,5,4
MS,5,11,3,2
MS,5,12,7,5
MS,5,13,5,4
MS,5,14,6,3
MS,5,15,3,2
MS,5,16,6,5
MS,5,17,7,5
MS,5,18,5,3
MS,5,19,3,3
MS,5,20,3,1
MS,5,21,1,0
MS,5,23,3,0
MS,6,6,11,7
MS,6,7,6,4
MS,6,8,1,0
MS,6,10,2,2
MS,6,11,5,5
MS,6,12,4,2
MS,6,13,4,4
MS,6,14,4,2
MS,6,15,3,2
MS,6,16,1,1
MS,6,17,9,8
MS,6,18,4,4
MS,6,19,2,1
MS,6,21,3,1
MT,0,2,1,0
MT,0,7,1,1
MT,0,8,7,5
MT,0,9,5,5
MT,0,12,1,1
MT,0,22,1,0
MT,1,1,1,1
MT,1,4,1,1
MT,1,7,4,2
MT,1,8,6,6
MT,1,9,2,2
MT,1,10,1,1
MT,1,16,1,1
MT,2,7,1,1
MT,2,9,1,1
MT,2,17,2,2
MT,3,7,1,1
MT,3,8,4,4
MT,3,9,2,2
MT,4,9,2,2
MT,4,13,1,1
MT,4,14,1,0
MT,4,16,1,0
MT,4,19,1,1
MT,5,5,1,1
MT,5,12,1,1
MT,5,13,1,1
MT,6,10,1,1
MT,6,11,1,1
MT,6,17,1,1
MT,6,18,1,0
NC,0,0,4,4
NC,0,1,7,1
NC,0,2,20,6
NC,0,3,11,1
NC,0,4,537,88
NC,0,5,574,90
NC,0,6,1512,257
NC,0,7,2980,395
NC,0,8,3380,465
NC,0,9,2309,261
NC,0,10,1981,186
NC,0,11,1992,191
NC,0,12,1331,163
NC,0,13,1437,183
NC,0,14,1470,189
NC,0,15,1329,237
NC,0,16,2775,330
NC,0,17,2656,328
NC,0,18,2023,274
NC,0,19,1303,127
NC,0,20,799,101
NC,0,21,603,93
NC,0,22,457,74
NC,0,23,7,3
NC,1,0,2,2
NC,1,1,12,6
NC,1,2,6,4
NC,1,3,7,2
NC,1,4,489,107
NC,1,5,547,100
NC,1,6,1705,298
NC,1,7,3462,512
NC,1,8,3884,542
NC,1,9,2657,362
NC,1,10,2055,199
NC,1,11,2247,222
NC,1,12,1296,138
NC,1,13,1563,182
NC,1,14,1460,194
NC,1,15,1302,213
NC,1,16,2872,340
NC,1,17,2896,370
NC,1,18,2134,253
NC,1,19,1406,152
NC,1,20,809,99
NC,1,21,645,75
NC,1,22,575,61
NC,1,23,18,6
NC,2,0,7,4
NC,2,1,16,2
NC,2,2,11,3
NC,2,3,6,1
NC,2,4,526,109
NC,2,5,471,72
NC,2,6,1620,252
NC,2,7,3424,460
NC,2,8,3915,519
NC,2,9,2519,290
NC,2,10,1995,201
NC,2,11,2216,198
NC,2,12,1338,150
NC,2,13,1578,208
NC,2,14,1470,232
NC,2,15,1339,243
NC,2,16,2772,370
NC,2,17,2944,381
NC,2,18,2211,263
NC,2,19,1513,153
NC,2,20,832,108
NC,2,21,750,89
NC,2,22,540,103
NC,2,23,6,3
NC,3,0,1,1
NC,3,1,12,3
NC,3,2,6,1
NC,3,3,6,0
NC,3,4,495,107
NC,3,5,541,109
NC,3,6,1559,247
NC,3,7,3105,412
NC,3,8,3398,444
NC,3,9,2414,312
NC,3,10,1948,201
NC,3,11,2099,177
NC,3,12,1144,164
NC,3,13,1405,199
NC,3,14,1337,204
NC,3,15,1356,265
NC,3,16,2692,392
