State,Weather_Condition,Severity,Count
MN,Clear,4,3
MN,Fair,1,219
MN,Fair,2,9306
MN,Fair,3,2978
MN,Fair,4,15
MN,Mostly Cloudy,1,44
MN,Mostly Cloudy,2,2851
MN,Mostly Cloudy,3,3135
MN,Mostly Cloudy,4,5
MN,Overcast,1,1
MN,Overcast,2,3182
MN,Overcast,3,4381
MN,Overcast,4,1
MN,Partly Cloudy,1,33
MN,Partly Cloudy,2,2013
MN,Partly Cloudy,3,2033
MN,Partly Cloudy,4,4
MO,Clear,1,1
MO,Clear,2,1309
MO,Clear,3,2450
MO,Clear,4,5
MO,Fair,1,92
MO,Fair,2,2694
MO,Fair,3,5162
MO,Fair,4,152
MO,Mostly Cloudy,1,26
MO,Mostly Cloudy,2,852
MO,Mostly Cloudy,3,2772
MO,Mostly Cloudy,4,42
MO,Overcast,1,2
MO,Overcast,2,786
MO,Overcast,3,1960
MO,Overcast,4,3
MO,Partly Cloudy,1,10
MO,Partly Cloudy,2,497
MO,Partly Cloudy,3,1669
MO,Partly Cloudy,4,24
MS,Clear,2,557
MS,Clear,3,639
MS,Clear,4,3
MS,Fair,1,10
MS,Fair,2,712
MS,Fair,3,721
MS,Fair,4,44
MS,Mostly Cloudy,1,2
MS,Mostly Cloudy,2,335
MS,Mostly Cloudy,3,346
MS,Mostly Cloudy,4,14
MS,Overcast,2,286
MS,Overcast,3,288
MS,Overcast,4,2
MS,Partly Cloudy,1,2
MS,Partly Cloudy,2,226
MS,Partly Cloudy,3,265
MS,Partly Cloudy,4,4
MT,Clear,4,1
MT,Fair,2,1
MT,Fair,3,2
MT,Fair,4,2
MT,Mostly Cloudy,2,1
MT,Mostly Cloudy,3,3
MT,Mostly Cloudy,4,1
MT,Overcast,2,1
MT,Overcast,3,5
MT,Partly Cloudy,2,3
MT,Partly Cloudy,3,2
NC,Clear,1,7
NC,Clear,2,15375
NC,Clear,3,2365
NC,Fair,1,948
NC,Fair,2,27273
NC,Fair,3,4880
NC,Fair,4,221
